time,step-size,{controllerFMU}.controller.fanSpeed,{controllerFMU}.controller.valveOpen,{environmentFMU}.env.OAT_OUT,{environmentFMU}.env.RAT_OUT,{roomheatingFMU}.room.RAT
0.0,0.0,0.0,0.0,6.11,0.0,16.0
1.0,1.0,1.0E-7,1.0E-7,6.109999999999999,0.0,16.000001328903654
2.0,1.0,1.0E-7,1.0E-7,6.11,0.0,16.00000074484112
3.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.999999576527035
4.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.999997824229066
5.0,1.0,1.0E-7,1.0E-7,6.110219999999999,0.0,15.999995488215164
6.0,1.0,1.0E-7,1.0E-7,6.132219999999998,0.0,15.99999256875356
7.0,1.0,1.0E-7,1.0E-7,6.154219999999997,0.0,15.999989066112763
8.0,1.0,1.0E-7,1.0E-7,6.176219999999997,0.0,15.999984980561583
9.0,1.0,1.0E-7,1.0E-7,6.198219999999997,0.0,15.999980312371783
10.0,1.0,1.0E-7,1.0E-7,6.22,0.0,15.999975061818052
11.0,1.0,1.0E-7,1.0E-7,6.22,0.0,15.999969229178014
12.0,1.0,1.0E-7,1.0E-7,6.219999999999999,0.0,15.999962814732212
13.0,1.0,1.0E-7,1.0E-7,6.22,0.0,15.999955818764077
14.0,1.0,1.0E-7,1.0E-7,6.22,0.0,15.999948241557274
15.0,1.0,1.0E-7,1.0E-7,6.219999999999999,0.0,15.999940083395709
16.0,1.0,1.0E-7,1.0E-7,6.219999999999999,0.0,15.999931344563521
17.0,1.0,1.0E-7,1.0E-7,6.219999999999999,0.0,15.999922025345088
18.0,1.0,1.0E-7,1.0E-7,6.22,0.0,15.999912126025016
19.0,1.0,1.0E-7,1.0E-7,6.22,0.0,15.999901646888151
20.0,1.0,1.0E-7,1.0E-7,6.219999999999993,0.0,15.999890588219566
21.0,1.0,1.0E-7,1.0E-7,6.197999999999989,0.0,15.999878950304566
22.0,1.0,1.0E-7,1.0E-7,6.175999999999986,0.0,15.999866733428687
23.0,1.0,1.0E-7,1.0E-7,6.153999999999982,0.0,15.999853937877694
24.0,1.0,1.0E-7,1.0E-7,6.13199999999998,0.0,15.99984056393491
25.0,1.0,1.0E-7,1.0E-7,6.110000000000025,0.0,15.999826611881229
26.0,1.0,1.0E-7,1.0E-7,6.132000000000028,0.0,15.999812081995115
27.0,1.0,1.0E-7,1.0E-7,6.154000000000032,0.0,15.999796974552607
28.0,1.0,1.0E-7,1.0E-7,6.176000000000035,0.0,15.999781289827332
29.0,1.0,1.0E-7,1.0E-7,6.198000000000038,0.0,15.999765028095839
30.0,1.0,1.0E-7,1.0E-7,6.22,0.0,15.999748189637591
31.0,1.0,1.0E-7,1.0E-7,6.219999999999999,0.0,15.999730774734966
32.0,1.0,1.0E-7,1.0E-7,6.22,0.0,15.999712783673235
33.0,1.0,1.0E-7,1.0E-7,6.22,0.0,15.99969421674057
34.0,1.0,1.0E-7,1.0E-7,6.22,0.0,15.999675074225358
35.0,1.0,1.0E-7,1.0E-7,6.22,0.0,15.999655356416202
36.0,1.0,1.0E-7,1.0E-7,6.22,0.0,15.999635063601923
37.0,1.0,1.0E-7,1.0E-7,6.22,0.0,15.99961419607156
38.0,1.0,1.0E-7,1.0E-7,6.22,0.0,15.99959275411436
39.0,1.0,1.0E-7,1.0E-7,6.219999999999999,0.0,15.99957073801979
40.0,1.0,1.0E-7,1.0E-7,6.22,0.0,15.999548148077524
41.0,1.0,1.0E-7,1.0E-7,6.219999999999999,0.0,15.999524984577453
42.0,1.0,1.0E-7,1.0E-7,6.22,0.0,15.999501247809675
43.0,1.0,1.0E-7,1.0E-7,6.22,0.0,15.9994769380645
44.0,1.0,1.0E-7,1.0E-7,6.22,0.0,15.999452055632446
45.0,1.0,1.0E-7,1.0E-7,6.22,0.0,15.999426600804236
46.0,1.0,1.0E-7,1.0E-7,6.220000000000001,0.0,15.999400573870806
47.0,1.0,1.0E-7,1.0E-7,6.22,0.0,15.999373975123294
48.0,1.0,1.0E-7,1.0E-7,6.22,0.0,15.999346804853044
49.0,1.0,1.0E-7,1.0E-7,6.22,0.0,15.999319063351603
50.0,1.0,1.0E-7,1.0E-7,6.22,0.0,15.999290750910722
51.0,1.0,1.0E-7,1.0E-7,6.22,0.0,15.999261867822357
52.0,1.0,1.0E-7,1.0E-7,6.22,0.0,15.999232414378662
53.0,1.0,1.0E-7,1.0E-7,6.22,0.0,15.999202390871995
54.0,1.0,1.0E-7,1.0E-7,6.22,0.0,15.99917179759491
55.0,1.0,1.0E-7,1.0E-7,6.22,0.0,15.999140634840163
56.0,1.0,1.0E-7,1.0E-7,6.22,0.0,15.999108902900705
57.0,1.0,1.0E-7,1.0E-7,6.22,0.0,15.999076602069685
58.0,1.0,1.0E-7,1.0E-7,6.22,0.0,15.99904373264045
59.0,1.0,1.0E-7,1.0E-7,6.220000000000001,0.0,15.99901029490654
60.0,1.0,1.0E-7,1.0E-7,6.22,0.0,15.99897628916169
61.0,1.0,1.0E-7,1.0E-7,6.22,0.0,15.998941715699827
62.0,1.0,1.0E-7,1.0E-7,6.22,0.0,15.998906574815072
63.0,1.0,1.0E-7,1.0E-7,6.22,0.0,15.998870866801736
64.0,1.0,1.0E-7,1.0E-7,6.22,0.0,15.998834591954324
65.0,1.0,1.0E-7,1.0E-7,6.21978000000008,0.0,15.998797750567528
66.0,1.0,1.0E-7,1.0E-7,6.197780000000069,0.0,15.998760342936228
67.0,1.0,1.0E-7,1.0E-7,6.175780000000058,0.0,15.998722369355495
68.0,1.0,1.0E-7,1.0E-7,6.153780000000046,0.0,15.998683830120559
69.0,1.0,1.0E-7,1.0E-7,6.1317800000000355,0.0,15.998644725524167
70.0,1.0,1.0E-7,1.0E-7,6.110219999999977,0.0,15.998605055856595
71.0,1.0,1.0E-7,1.0E-7,6.132219999999988,0.0,15.998564821405644
72.0,1.0,1.0E-7,1.0E-7,6.154219999999999,0.0,15.998524022456655
73.0,1.0,1.0E-7,1.0E-7,6.17600000000001,0.0,15.998482659292563
74.0,1.0,1.0E-7,1.0E-7,6.198000000000022,0.0,15.998440732199185
75.0,1.0,1.0E-7,1.0E-7,6.22,0.0,15.998398241465216
76.0,1.0,1.0E-7,1.0E-7,6.22,0.0,15.998355187382186
77.0,1.0,1.0E-7,1.0E-7,6.22,0.0,15.998311570244491
78.0,1.0,1.0E-7,1.0E-7,6.22,0.0,15.998267390349376
79.0,1.0,1.0E-7,1.0E-7,6.22,0.0,15.998222647994265
80.0,1.0,1.0E-7,1.0E-7,6.219999999999911,0.0,15.998177343476756
81.0,1.0,1.0E-7,1.0E-7,6.1979999999999,0.0,15.998131477094626
82.0,1.0,1.0E-7,1.0E-7,6.175999999999889,0.0,15.998085049145823
83.0,1.0,1.0E-7,1.0E-7,6.153999999999878,0.0,15.998038059928472
84.0,1.0,1.0E-7,1.0E-7,6.1319999999998664,0.0,15.997990509738202
85.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.99794239886815
86.0,1.0,1.0E-7,1.0E-7,6.11,0.0,15.997893727608975
